epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3011,1.70661,3.37645,1.27478,0.74641,0.25735,0.29316,0.18473,1.46444,1.82849,1.15261,0.0685847,0.00165344,0.00165344
2,49.2932,1.273,1.34989,1.06392,0.78396,0.41134,0.48586,0.31431,1.34722,1.24935,1.11981,0.036907,0.00330915,0.00330915
3,72.7015,1.22889,1.02427,1.04888,0.75116,0.60722,0.64211,0.41147,1.46969,1.06507,1.17912,0.00521841,0.00495386,0.00495386
4,93.0473,1.19843,0.87977,1.04006,0.85837,0.60393,0.71085,0.44391,1.42541,0.99432,1.15502,0.0049505,0.0049505,0.0049505
5,112.98,1.17607,0.77332,1.03265,0.80141,0.76051,0.81414,0.53077,1.33951,0.83024,1.11501,0.004934,0.004934,0.004934
6,135.189,1.15164,0.71233,1.02366,0.84706,0.78945,0.85205,0.55087,1.34778,0.85031,1.11918,0.0049175,0.0049175,0.0049175
7,159.237,1.13432,0.67566,1.01971,0.81861,0.81556,0.89469,0.56673,1.42562,0.78835,1.14868,0.004901,0.004901,0.004901
8,182.001,1.12344,0.64842,1.01029,0.91514,0.77624,0.88939,0.58283,1.30937,0.76763,1.11721,0.0048845,0.0048845,0.0048845
9,205.887,1.09687,0.62392,1.00555,0.87468,0.79159,0.8588,0.54461,1.36207,0.7559,1.14891,0.004868,0.004868,0.004868
10,229.391,1.09844,0.60795,1.0067,0.85233,0.85834,0.9129,0.61268,1.30987,0.70656,1.11648,0.0048515,0.0048515,0.0048515
11,250.51,1.08483,0.58884,1.00179,0.87582,0.79848,0.91343,0.59116,1.30415,0.7528,1.10238,0.004835,0.004835,0.004835
12,269.771,1.07814,0.58441,0.99749,0.85791,0.80238,0.90277,0.58426,1.30513,0.71221,1.10185,0.0048185,0.0048185,0.0048185
13,290.375,1.06022,0.56413,0.99591,0.89437,0.78712,0.90385,0.58896,1.33352,0.74676,1.12916,0.004802,0.004802,0.004802
14,311.936,1.05265,0.55841,0.99267,0.86941,0.83609,0.91086,0.61137,1.37104,0.71587,1.14658,0.0047855,0.0047855,0.0047855
15,333.283,1.04312,0.54641,0.98492,0.8599,0.87988,0.90658,0.612,1.31166,0.70635,1.12267,0.004769,0.004769,0.004769
16,354.741,1.01996,0.5343,0.98224,0.86785,0.87529,0.91605,0.59966,1.35516,0.66715,1.13621,0.0047525,0.0047525,0.0047525
17,373.414,1.02255,0.53278,0.97851,0.90859,0.84824,0.90732,0.60048,1.35867,0.70086,1.14704,0.004736,0.004736,0.004736
18,391.848,1.01056,0.51913,0.9741,0.86904,0.8389,0.92206,0.60934,1.36061,0.6866,1.14722,0.0047195,0.0047195,0.0047195
19,410.925,0.995,0.51203,0.9707,0.92244,0.82639,0.92652,0.61902,1.32227,0.62254,1.12651,0.004703,0.004703,0.004703
20,428.872,0.98753,0.50318,0.97303,0.91564,0.82775,0.92961,0.63062,1.39792,0.6813,1.16141,0.0046865,0.0046865,0.0046865
21,448.271,0.97858,0.49398,0.96077,0.90389,0.88894,0.92697,0.61168,1.35835,0.64558,1.16185,0.00467,0.00467,0.00467
22,467.01,0.96787,0.49004,0.96027,0.84488,0.87311,0.8955,0.59663,1.37112,0.64498,1.15994,0.0046535,0.0046535,0.0046535
23,485.079,0.95529,0.48673,0.96091,0.88097,0.8355,0.92226,0.61615,1.33861,0.63312,1.13629,0.004637,0.004637,0.004637
24,504.572,0.94603,0.48138,0.95486,0.91138,0.82368,0.91031,0.59539,1.32531,0.67718,1.15404,0.0046205,0.0046205,0.0046205
25,522.569,0.93956,0.4717,0.95284,0.89878,0.87528,0.94209,0.62054,1.39463,0.65043,1.17365,0.004604,0.004604,0.004604
26,541.179,0.93498,0.46705,0.94902,0.88757,0.86428,0.90435,0.60843,1.34652,0.68997,1.14375,0.0045875,0.0045875,0.0045875
27,560.138,0.91658,0.45971,0.94554,0.89423,0.88235,0.91659,0.60659,1.35929,0.65022,1.16135,0.004571,0.004571,0.004571
28,579.746,0.91548,0.45784,0.94169,0.88664,0.89643,0.93156,0.61934,1.33752,0.62006,1.15052,0.0045545,0.0045545,0.0045545
29,600.165,0.90283,0.45449,0.93618,0.85186,0.89096,0.91298,0.59622,1.33153,0.66116,1.14293,0.004538,0.004538,0.004538
30,621.955,0.8945,0.44837,0.93283,0.86658,0.89362,0.92543,0.61704,1.32923,0.63571,1.14827,0.0045215,0.0045215,0.0045215
31,642.057,0.88576,0.44565,0.93357,0.85588,0.88438,0.92688,0.62412,1.30994,0.67282,1.13746,0.004505,0.004505,0.004505
32,661.02,0.87328,0.44029,0.92833,0.88953,0.87288,0.93952,0.6203,1.35554,0.64563,1.1607,0.0044885,0.0044885,0.0044885
33,678.762,0.8767,0.4367,0.92948,0.84715,0.91072,0.92256,0.62715,1.35481,0.61635,1.14766,0.004472,0.004472,0.004472
34,697.6,0.84837,0.42292,0.92143,0.85302,0.87044,0.9178,0.61663,1.33332,0.62479,1.14391,0.0044555,0.0044555,0.0044555
35,714.999,0.84677,0.42273,0.92,0.86201,0.87538,0.92354,0.62993,1.36256,0.63743,1.1668,0.004439,0.004439,0.004439
36,732.711,0.83911,0.42056,0.91387,0.87541,0.91352,0.93253,0.63231,1.32513,0.62707,1.17182,0.0044225,0.0044225,0.0044225
37,756.397,0.82834,0.41309,0.91296,0.90097,0.87326,0.92926,0.62253,1.33467,0.63546,1.16365,0.004406,0.004406,0.004406
38,775.021,0.8225,0.4175,0.91134,0.91694,0.8635,0.91794,0.61639,1.315,0.63982,1.15991,0.0043895,0.0043895,0.0043895
39,793.811,0.81233,0.40776,0.90922,0.92899,0.8387,0.93271,0.61837,1.34314,0.65421,1.18323,0.004373,0.004373,0.004373
40,816.577,0.80433,0.40652,0.90921,0.91826,0.8779,0.92601,0.62511,1.27785,0.63021,1.15141,0.0043565,0.0043565,0.0043565
41,834.653,0.80029,0.39948,0.90274,0.94625,0.88759,0.94385,0.6275,1.37475,0.64947,1.1842,0.00434,0.00434,0.00434
42,852.483,0.78961,0.39469,0.90139,0.86776,0.90972,0.93347,0.62372,1.32885,0.61436,1.17641,0.0043235,0.0043235,0.0043235
43,870.541,0.78693,0.39831,0.8995,0.9207,0.86626,0.9263,0.61068,1.38159,0.67596,1.19148,0.004307,0.004307,0.004307
44,891.623,0.76659,0.38981,0.89379,0.92153,0.90931,0.94219,0.61892,1.35704,0.63377,1.18907,0.0042905,0.0042905,0.0042905
45,910.553,0.76255,0.38883,0.88918,0.91512,0.88965,0.93326,0.62016,1.35324,0.64091,1.18837,0.004274,0.004274,0.004274
