epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4091,1.61339,1.2417,1.64902,0.81639,0.74203,0.83616,0.51044,1.34352,0.80435,1.46046,0.0675441,0.000662366,0.000662366
2,48.9536,1.22209,0.77083,1.29296,0.9107,0.81736,0.93483,0.63247,1.15675,0.6329,1.31308,0.0348686,0.00132026,0.00132026
3,71.4543,1.11036,0.66353,1.21917,0.89391,0.90411,0.9473,0.64858,1.10853,0.57357,1.27274,0.00218441,0.00196936,0.00196936
4,93.7105,1.02764,0.59938,1.16677,0.91244,0.88809,0.95611,0.67829,1.03044,0.5371,1.21953,0.0019604,0.0019604,0.0019604
5,115.755,0.97367,0.56381,1.12869,0.93023,0.91195,0.96092,0.69168,1.02305,0.50961,1.21823,0.0019472,0.0019472,0.0019472
6,138.276,0.93221,0.53972,1.10261,0.91582,0.92102,0.9666,0.70785,0.95339,0.4835,1.15972,0.001934,0.001934,0.001934
7,160.699,0.89545,0.51467,1.08454,0.95437,0.90619,0.97139,0.70955,0.95634,0.47896,1.1716,0.0019208,0.0019208,0.0019208
8,183.109,0.86394,0.49638,1.06829,0.93639,0.92083,0.97914,0.74369,0.90598,0.4648,1.14046,0.0019076,0.0019076,0.0019076
9,205.149,0.84309,0.48384,1.0513,0.94244,0.9473,0.98155,0.74697,0.87727,0.44824,1.11556,0.0018944,0.0018944,0.0018944
10,227.224,0.82495,0.47322,1.03983,0.94387,0.91955,0.97086,0.74502,0.8811,0.45046,1.12621,0.0018812,0.0018812,0.0018812
11,249.136,0.79879,0.46126,1.02549,0.95239,0.93581,0.98375,0.75728,0.85463,0.43943,1.111,0.001868,0.001868,0.001868
12,271.408,0.78128,0.45305,1.01654,0.94939,0.92862,0.97777,0.75948,0.85216,0.44053,1.11024,0.0018548,0.0018548,0.0018548
13,293.361,0.76117,0.4397,1.0108,0.95758,0.93528,0.97852,0.77762,0.8156,0.41893,1.08187,0.0018416,0.0018416,0.0018416
14,315.883,0.74609,0.43547,0.99738,0.95603,0.95198,0.98397,0.77434,0.81527,0.41502,1.08522,0.0018284,0.0018284,0.0018284
15,337.934,0.72687,0.42652,0.98895,0.94699,0.9514,0.98406,0.77185,0.83274,0.41919,1.1061,0.0018152,0.0018152,0.0018152
16,359.592,0.71927,0.42261,0.98098,0.96338,0.93634,0.98566,0.77952,0.80465,0.40528,1.07822,0.001802,0.001802,0.001802
17,380.576,0.70542,0.42005,0.9714,0.95191,0.95894,0.98986,0.78387,0.80024,0.40375,1.08008,0.0017888,0.0017888,0.0017888
18,401.952,0.69547,0.4125,0.96844,0.96913,0.9452,0.98673,0.79362,0.78107,0.39795,1.06312,0.0017756,0.0017756,0.0017756
19,422.608,0.68602,0.41019,0.96471,0.95414,0.9387,0.9904,0.78573,0.79745,0.39776,1.07983,0.0017624,0.0017624,0.0017624
20,443.562,0.67432,0.40438,0.96107,0.95635,0.95102,0.99002,0.80064,0.76327,0.38908,1.05261,0.0017492,0.0017492,0.0017492
21,464.57,0.66172,0.39848,0.95158,0.96095,0.93667,0.98432,0.78522,0.79496,0.39708,1.06823,0.001736,0.001736,0.001736
22,486.471,0.65777,0.39866,0.94822,0.97141,0.9338,0.98244,0.79693,0.75433,0.39833,1.03893,0.0017228,0.0017228,0.0017228
23,507.564,0.63861,0.38561,0.94306,0.96152,0.94393,0.99133,0.80081,0.74213,0.38239,1.03777,0.0017096,0.0017096,0.0017096
24,528.562,0.63807,0.3892,0.93876,0.96241,0.9477,0.99088,0.8072,0.73238,0.37884,1.0365,0.0016964,0.0016964,0.0016964
25,550.149,0.6271,0.3841,0.93594,0.9605,0.94311,0.98619,0.80322,0.74112,0.38285,1.04175,0.0016832,0.0016832,0.0016832
26,570.82,0.62088,0.3816,0.93102,0.97491,0.94385,0.9899,0.8078,0.74289,0.37688,1.04641,0.00167,0.00167,0.00167
27,592.097,0.61231,0.37826,0.92242,0.9726,0.93985,0.98953,0.80461,0.72807,0.37574,1.03357,0.0016568,0.0016568,0.0016568
28,613.037,0.60237,0.37184,0.9213,0.96605,0.94343,0.98928,0.81494,0.7056,0.36843,1.02086,0.0016436,0.0016436,0.0016436
29,634.164,0.59654,0.3685,0.91917,0.95975,0.94432,0.98594,0.80805,0.7064,0.36983,1.02031,0.0016304,0.0016304,0.0016304
30,654.986,0.58683,0.3671,0.91325,0.95598,0.94244,0.97787,0.81101,0.708,0.37305,1.02479,0.0016172,0.0016172,0.0016172
31,675.976,0.58576,0.36582,0.91093,0.95947,0.94316,0.98638,0.81431,0.71208,0.3697,1.02485,0.001604,0.001604,0.001604
32,697.046,0.57635,0.36257,0.9129,0.95388,0.96138,0.98881,0.82109,0.68329,0.35953,1.00804,0.0015908,0.0015908,0.0015908
33,718.245,0.56676,0.35874,0.90701,0.96127,0.95033,0.98563,0.82523,0.68107,0.35821,1.0072,0.0015776,0.0015776,0.0015776
34,741.097,0.56737,0.35942,0.9038,0.95223,0.95281,0.98388,0.82181,0.6635,0.35279,0.99759,0.0015644,0.0015644,0.0015644
35,763.578,0.55747,0.3523,0.89925,0.95796,0.94539,0.98302,0.81921,0.66933,0.35448,1.00446,0.0015512,0.0015512,0.0015512
36,785.275,0.5516,0.34754,0.89889,0.95197,0.94936,0.98655,0.82136,0.67453,0.35123,1.01288,0.001538,0.001538,0.001538
37,807.605,0.55004,0.35085,0.89751,0.97,0.93832,0.98825,0.83032,0.65895,0.34702,0.99871,0.0015248,0.0015248,0.0015248
38,830.484,0.54271,0.34736,0.89837,0.96734,0.94714,0.9882,0.83434,0.64929,0.34465,0.99663,0.0015116,0.0015116,0.0015116
39,852.832,0.54022,0.34673,0.89034,0.95104,0.95364,0.98712,0.83077,0.64043,0.34555,0.99107,0.0014984,0.0014984,0.0014984
40,875.6,0.52979,0.33871,0.88904,0.93821,0.95425,0.98396,0.83529,0.6383,0.34734,0.99304,0.0014852,0.0014852,0.0014852
41,898.091,0.52705,0.34015,0.88965,0.93738,0.96731,0.98389,0.83164,0.65466,0.3453,1.00332,0.001472,0.001472,0.001472
42,920.126,0.52468,0.33909,0.88617,0.93735,0.96997,0.98524,0.83496,0.63975,0.3389,0.99188,0.0014588,0.0014588,0.0014588
43,942.32,0.51767,0.33795,0.88252,0.95417,0.95856,0.98564,0.83874,0.62127,0.33726,0.97898,0.0014456,0.0014456,0.0014456
44,965.124,0.51272,0.33625,0.8834,0.95899,0.94474,0.98444,0.83389,0.63165,0.33843,0.98465,0.0014324,0.0014324,0.0014324
45,987.428,0.50834,0.33341,0.87847,0.94762,0.95822,0.98431,0.83745,0.62931,0.33727,0.98285,0.0014192,0.0014192,0.0014192
46,1009.27,0.50469,0.33016,0.87568,0.9518,0.94737,0.98587,0.83906,0.61512,0.33365,0.97598,0.001406,0.001406,0.001406
47,1031.67,0.4986,0.32724,0.87605,0.96172,0.93471,0.98488,0.84187,0.60737,0.33358,0.97485,0.0013928,0.0013928,0.0013928
48,1053.18,0.49985,0.32843,0.87522,0.96782,0.94407,0.98728,0.84681,0.60848,0.33236,0.97112,0.0013796,0.0013796,0.0013796
49,1074.39,0.49146,0.32517,0.86869,0.95765,0.94342,0.98599,0.84244,0.6059,0.32928,0.9703,0.0013664,0.0013664,0.0013664
50,1095.79,0.49193,0.32612,0.87534,0.98063,0.94634,0.98889,0.84363,0.6101,0.32917,0.97141,0.0013532,0.0013532,0.0013532
51,1117.6,0.48615,0.32198,0.87098,0.97389,0.94971,0.98942,0.84628,0.60128,0.32591,0.97321,0.00134,0.00134,0.00134
52,1139.2,0.48165,0.3219,0.86888,0.97466,0.94999,0.9903,0.84506,0.6031,0.32397,0.96912,0.0013268,0.0013268,0.0013268
53,1160.49,0.47884,0.32036,0.86828,0.95501,0.94703,0.98224,0.84722,0.58877,0.32618,0.96556,0.0013136,0.0013136,0.0013136
54,1183.39,0.47442,0.31512,0.86598,0.97587,0.93476,0.98522,0.84357,0.58567,0.3243,0.96606,0.0013004,0.0013004,0.0013004
55,1204.65,0.47395,0.3202,0.86627,0.95885,0.96375,0.98703,0.84647,0.58227,0.32075,0.9628,0.0012872,0.0012872,0.0012872
56,1225.39,0.46864,0.31511,0.86415,0.96547,0.94279,0.98303,0.8435,0.58794,0.32213,0.96897,0.001274,0.001274,0.001274
57,1246.24,0.46812,0.31334,0.8608,0.97279,0.93779,0.98527,0.84961,0.58295,0.32242,0.96354,0.0012608,0.0012608,0.0012608
58,1267.74,0.46898,0.31571,0.85987,0.94965,0.95903,0.98472,0.84632,0.59556,0.32964,0.97069,0.0012476,0.0012476,0.0012476
59,1288.56,0.45817,0.31217,0.857,0.97135,0.94672,0.9834,0.84862,0.57406,0.32234,0.96206,0.0012344,0.0012344,0.0012344
60,1310.03,0.4592,0.31171,0.85944,0.9452,0.96391,0.986,0.84618,0.57815,0.32012,0.96417,0.0012212,0.0012212,0.0012212
61,1331,0.45571,0.30846,0.85522,0.96932,0.94878,0.98781,0.85188,0.57995,0.31866,0.96961,0.001208,0.001208,0.001208
62,1352.29,0.4511,0.30768,0.85481,0.97142,0.95627,0.98716,0.8511,0.58165,0.31801,0.96585,0.0011948,0.0011948,0.0011948
63,1373.6,0.44616,0.3032,0.85612,0.96792,0.95696,0.98832,0.8552,0.56718,0.31252,0.9597,0.0011816,0.0011816,0.0011816
64,1395.39,0.44333,0.30211,0.85362,0.96225,0.96225,0.98655,0.85683,0.56324,0.31335,0.95884,0.0011684,0.0011684,0.0011684
65,1416.61,0.44683,0.30522,0.85702,0.95239,0.9603,0.98894,0.85096,0.57181,0.31333,0.95969,0.0011552,0.0011552,0.0011552
66,1437.68,0.43959,0.29984,0.85347,0.97392,0.95568,0.98848,0.85717,0.55101,0.30736,0.95105,0.001142,0.001142,0.001142
67,1458.5,0.43933,0.30221,0.85077,0.97295,0.95451,0.99053,0.8579,0.55724,0.30727,0.95591,0.0011288,0.0011288,0.0011288
68,1480.39,0.43929,0.29982,0.85038,0.95848,0.95776,0.98702,0.85585,0.55299,0.30552,0.95815,0.0011156,0.0011156,0.0011156
69,1501.55,0.43466,0.29715,0.84946,0.9708,0.94412,0.98592,0.85928,0.54821,0.30839,0.95441,0.0011024,0.0011024,0.0011024
70,1522.4,0.43311,0.29686,0.84919,0.9666,0.95385,0.9869,0.86175,0.54786,0.3061,0.9558,0.0010892,0.0010892,0.0010892
71,1543.84,0.42774,0.29511,0.84806,0.97328,0.95585,0.98904,0.86211,0.55107,0.30891,0.95455,0.001076,0.001076,0.001076
72,1565.39,0.428,0.29608,0.84723,0.9689,0.95798,0.98843,0.86479,0.54299,0.30409,0.9473,0.0010628,0.0010628,0.0010628
73,1586.04,0.42471,0.29558,0.84592,0.96974,0.95714,0.98759,0.8647,0.54359,0.30323,0.95091,0.0010496,0.0010496,0.0010496
74,1607.14,0.42492,0.29273,0.8445,0.96143,0.96335,0.98865,0.86415,0.53453,0.30066,0.94927,0.0010364,0.0010364,0.0010364
