epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5598,0.60321,0.32489,0.85672,0.94182,0.9506,0.97047,0.83021,0.66881,0.33547,0.87435,0.0670946,0.000265366,0.000265366
2,111.346,0.60527,0.32987,0.85737,0.95764,0.94197,0.97225,0.85398,0.60564,0.31007,0.84845,0.0340236,0.000527643,0.000527643
3,159.805,0.59346,0.3208,0.85447,0.9502,0.94099,0.97438,0.85323,0.59449,0.30633,0.84545,0.000948122,0.000785521,0.000785521
4,210.677,0.59233,0.32392,0.85136,0.97055,0.95207,0.97418,0.85029,0.60284,0.30581,0.84861,0.0007802,0.0007802,0.0007802
5,258.959,0.57777,0.31493,0.85172,0.95922,0.95965,0.97635,0.85101,0.6027,0.30622,0.84661,0.0007736,0.0007736,0.0007736
6,307.118,0.58019,0.31338,0.84927,0.92199,0.96237,0.98041,0.8578,0.60031,0.29415,0.84916,0.000767,0.000767,0.000767
7,354.207,0.56881,0.30677,0.8461,0.93646,0.95978,0.9747,0.85546,0.59281,0.28882,0.84556,0.0007604,0.0007604,0.0007604
8,399.095,0.55767,0.29734,0.84439,0.95733,0.94925,0.97757,0.86117,0.58281,0.29265,0.84513,0.0007538,0.0007538,0.0007538
9,446.484,0.55346,0.29879,0.84219,0.9696,0.9486,0.98427,0.86804,0.58106,0.28967,0.84333,0.0007472,0.0007472,0.0007472
10,491.863,0.54769,0.29046,0.84258,0.9539,0.97015,0.97886,0.86008,0.58054,0.27932,0.84215,0.0007406,0.0007406,0.0007406
11,539.282,0.55096,0.28918,0.842,0.96547,0.9615,0.98452,0.87151,0.57175,0.27972,0.84036,0.000734,0.000734,0.000734
12,584.466,0.53693,0.28369,0.83756,0.96344,0.96635,0.98392,0.87001,0.57929,0.28359,0.84325,0.0007274,0.0007274,0.0007274
13,631.899,0.53344,0.28438,0.83795,0.9638,0.96331,0.98062,0.8663,0.57617,0.2737,0.84231,0.0007208,0.0007208,0.0007208
14,677.805,0.53078,0.27953,0.83535,0.97108,0.93807,0.97621,0.86457,0.56135,0.27009,0.83773,0.0007142,0.0007142,0.0007142
15,725.209,0.52366,0.27736,0.8354,0.96935,0.96019,0.97953,0.87134,0.56756,0.27483,0.83986,0.0007076,0.0007076,0.0007076
16,770.124,0.51969,0.27194,0.8332,0.96319,0.95969,0.97889,0.86933,0.5658,0.27054,0.8386,0.000701,0.000701,0.000701
17,815.954,0.51158,0.27002,0.83072,0.96988,0.94373,0.97635,0.86345,0.58026,0.27712,0.84392,0.0006944,0.0006944,0.0006944
18,863.974,0.51108,0.26955,0.83137,0.97226,0.95923,0.98543,0.87221,0.56502,0.269,0.838,0.0006878,0.0006878,0.0006878
19,910.032,0.50781,0.26572,0.83006,0.97044,0.95568,0.9804,0.86792,0.56054,0.26971,0.83922,0.0006812,0.0006812,0.0006812
20,957.917,0.49728,0.26059,0.82708,0.97001,0.95724,0.97963,0.8677,0.56149,0.26569,0.83595,0.0006746,0.0006746,0.0006746
21,1004.58,0.49623,0.25863,0.82684,0.97752,0.95768,0.98083,0.8674,0.56161,0.2669,0.83899,0.000668,0.000668,0.000668
22,1052.29,0.49017,0.25724,0.82706,0.97188,0.96154,0.98022,0.87247,0.56733,0.26239,0.84074,0.0006614,0.0006614,0.0006614
23,1097.49,0.48847,0.2549,0.82575,0.97338,0.96221,0.98506,0.8787,0.5512,0.26182,0.83473,0.0006548,0.0006548,0.0006548
24,1145.07,0.48494,0.25297,0.82432,0.96749,0.95887,0.98181,0.87233,0.56179,0.26546,0.83785,0.0006482,0.0006482,0.0006482
25,1193.9,0.48038,0.25131,0.82358,0.96857,0.95461,0.98519,0.87784,0.5536,0.25667,0.8363,0.0006416,0.0006416,0.0006416
26,1239.8,0.47697,0.2479,0.82324,0.96641,0.96997,0.9822,0.87166,0.56542,0.25965,0.83997,0.000635,0.000635,0.000635
27,1288.28,0.47212,0.24499,0.82109,0.97021,0.9664,0.98377,0.87337,0.56566,0.26013,0.83592,0.0006284,0.0006284,0.0006284
28,1334.45,0.46813,0.24408,0.82043,0.97055,0.95887,0.98405,0.87906,0.55298,0.25499,0.83422,0.0006218,0.0006218,0.0006218
29,1381.3,0.46236,0.24042,0.81955,0.96992,0.96502,0.98578,0.87807,0.55209,0.25535,0.83467,0.0006152,0.0006152,0.0006152
30,1429.74,0.45915,0.2399,0.81802,0.97053,0.96467,0.98327,0.87523,0.55821,0.25601,0.83769,0.0006086,0.0006086,0.0006086
31,1476.82,0.45818,0.23898,0.81708,0.97591,0.96059,0.98421,0.87764,0.56488,0.25559,0.8391,0.000602,0.000602,0.000602
32,1525.43,0.45213,0.23542,0.81759,0.96797,0.96233,0.9825,0.87553,0.5599,0.25534,0.83829,0.0005954,0.0005954,0.0005954
33,1571.3,0.44888,0.23737,0.81589,0.9695,0.96072,0.97998,0.87185,0.55622,0.25383,0.83659,0.0005888,0.0005888,0.0005888
