epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.923,0.38609,0.26293,0.83433,0.97586,0.96705,0.98863,0.87803,0.47472,0.27485,0.91197,0.0673745,0.000496835,0.000496835
2,53.5137,0.38057,0.26389,0.83057,0.96972,0.97074,0.98793,0.88528,0.47921,0.27702,0.91304,0.0345313,0.000986967,0.000986967
3,77.6868,0.39247,0.27484,0.83134,0.97002,0.96569,0.98956,0.88018,0.47672,0.29257,0.90611,0.00167817,0.0014672,0.0014672
4,100.465,0.40171,0.28038,0.83749,0.97751,0.96432,0.98939,0.87496,0.51275,0.28582,0.91718,0.00145545,0.00145545,0.00145545
5,122.98,0.4066,0.28182,0.83691,0.97503,0.96332,0.98926,0.88093,0.49921,0.29996,0.91163,0.0014406,0.0014406,0.0014406
6,146.46,0.40151,0.27743,0.83469,0.97642,0.96529,0.98951,0.87926,0.47074,0.27557,0.9033,0.00142575,0.00142575,0.00142575
7,169.732,0.4018,0.28003,0.83571,0.98277,0.96325,0.9887,0.88115,0.47395,0.27822,0.90546,0.0014109,0.0014109,0.0014109
8,193.107,0.40031,0.27757,0.83494,0.98068,0.9636,0.9903,0.87942,0.49456,0.2842,0.90877,0.00139605,0.00139605,0.00139605
9,215.664,0.39701,0.27742,0.8346,0.9709,0.96268,0.98896,0.87992,0.47947,0.28486,0.90403,0.0013812,0.0013812,0.0013812
10,238.127,0.39183,0.27341,0.83277,0.97368,0.96938,0.98865,0.8796,0.50935,0.2876,0.91036,0.00136635,0.00136635,0.00136635
11,260.894,0.38754,0.2728,0.83176,0.9723,0.96947,0.98828,0.89224,0.46547,0.27915,0.89695,0.0013515,0.0013515,0.0013515
12,285.265,0.39079,0.27379,0.8318,0.97605,0.96987,0.98821,0.88166,0.48874,0.2812,0.90513,0.00133665,0.00133665,0.00133665
13,307.817,0.38728,0.27303,0.83191,0.96436,0.97094,0.9877,0.88589,0.47285,0.28103,0.9039,0.0013218,0.0013218,0.0013218
14,329.487,0.3878,0.27443,0.83069,0.96031,0.97178,0.9883,0.89079,0.45777,0.27612,0.89791,0.00130695,0.00130695,0.00130695
15,352.493,0.38329,0.27074,0.83017,0.96785,0.9613,0.98642,0.88532,0.47242,0.28328,0.90115,0.0012921,0.0012921,0.0012921
16,375.209,0.38317,0.27013,0.82985,0.98032,0.96172,0.9876,0.89,0.4594,0.27294,0.89837,0.00127725,0.00127725,0.00127725
17,398.432,0.38201,0.26985,0.82854,0.97409,0.96159,0.98461,0.87901,0.47454,0.27924,0.90656,0.0012624,0.0012624,0.0012624
18,420.689,0.37995,0.26733,0.82754,0.97763,0.9647,0.98892,0.89409,0.46852,0.27529,0.89859,0.00124755,0.00124755,0.00124755
19,443.649,0.37653,0.2659,0.82959,0.98411,0.96612,0.98883,0.89386,0.46122,0.27112,0.89608,0.0012327,0.0012327,0.0012327
