epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9975,1.41966,2.1817,1.28252,0.97301,0.92653,0.96831,0.73747,0.9714,0.72537,0.95865,0.070122,0.00331978,0.00331978
2,125.03,1.03463,0.83058,1.01321,0.93902,0.91447,0.95994,0.75524,0.89443,0.68695,0.97578,0.040089,0.00662018,0.00662018
3,181.954,1.04767,0.8159,1.01844,0.90224,0.86801,0.91986,0.71333,0.95564,0.86054,1.02843,0.0100231,0.00988758,0.00988758
4,238.237,1.07057,0.84598,1.05002,0.96419,0.94814,0.96488,0.75656,0.89027,0.62525,0.98705,0.0098515,0.0098515,0.0098515
5,296.29,1.02558,0.77739,1.03083,0.88456,0.91856,0.94248,0.72611,0.97644,0.83531,1.01092,0.009802,0.009802,0.009802
6,352.725,0.99211,0.71947,1.01008,0.97125,0.93728,0.97176,0.78213,0.82447,0.55943,0.93574,0.0097525,0.0097525,0.0097525
7,407.441,0.96908,0.69239,0.99979,0.97294,0.93394,0.97373,0.7964,0.81062,0.52476,0.92767,0.009703,0.009703,0.009703
8,460.999,0.95909,0.66586,0.99345,0.96649,0.93571,0.96403,0.77991,0.81181,0.53839,0.9284,0.0096535,0.0096535,0.0096535
9,515.429,0.93123,0.63843,0.97778,0.9582,0.9615,0.97155,0.79467,0.77799,0.52638,0.91074,0.009604,0.009604,0.009604
10,568.832,0.92952,0.62428,0.97708,0.97793,0.96803,0.97489,0.81322,0.76036,0.46104,0.90893,0.0095545,0.0095545,0.0095545
11,623.757,0.90902,0.61235,0.96982,0.97267,0.96434,0.97521,0.81178,0.74101,0.4587,0.90368,0.009505,0.009505,0.009505
12,679.695,0.8914,0.59328,0.96378,0.97704,0.96029,0.97237,0.81715,0.739,0.44533,0.89543,0.0094555,0.0094555,0.0094555
13,736.445,0.88611,0.5821,0.96112,0.96489,0.96207,0.97135,0.8174,0.73119,0.44843,0.89189,0.009406,0.009406,0.009406
14,794.091,0.87793,0.57483,0.9569,0.97931,0.95782,0.97362,0.8179,0.74853,0.44688,0.90076,0.0093565,0.0093565,0.0093565
15,850.704,0.86795,0.57051,0.95311,0.95541,0.95715,0.96783,0.80552,0.79312,0.46508,0.90707,0.009307,0.009307,0.009307
16,907.046,0.86239,0.56184,0.95088,0.97467,0.9738,0.97388,0.82574,0.70652,0.41451,0.88448,0.0092575,0.0092575,0.0092575
