epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7562,1.31155,2.30322,1.12364,0.95298,0.84407,0.93562,0.74702,0.97587,1.21389,0.96776,0.000413925,0.000413925,0.000413925
2,45.9682,1.12183,1.24757,1.00686,0.94974,0.8721,0.94187,0.71942,0.95177,0.93593,1.00694,0.000822369,0.000822369,0.000822369
3,67.9789,1.07952,1.03145,0.99821,0.94859,0.9107,0.95608,0.75061,0.92382,0.8407,0.9635,0.00122256,0.00122256,0.00122256
4,86.445,1.0539,0.9125,0.99495,0.94777,0.89319,0.95181,0.74789,0.98795,0.79463,0.97127,0.00121287,0.00121287,0.00121287
5,105.408,1.03805,0.83069,0.98207,0.94658,0.93595,0.95723,0.75981,0.92165,0.65812,0.97152,0.0012005,0.0012005,0.0012005
6,125.642,1.00386,0.77255,0.96994,0.94047,0.91835,0.96068,0.79017,0.84767,0.69469,0.93366,0.00118812,0.00118812,0.00118812
7,144.758,1.00291,0.74842,0.96427,0.87935,0.93094,0.95745,0.77149,0.86043,0.67968,0.9268,0.00117575,0.00117575,0.00117575
8,164.719,0.97506,0.71935,0.95613,0.96961,0.9281,0.96089,0.79324,0.81873,0.62424,0.91832,0.00116337,0.00116337,0.00116337
9,185.705,0.97022,0.70701,0.95499,0.89427,0.94409,0.95888,0.79559,0.80732,0.60351,0.93071,0.001151,0.001151,0.001151
10,204.995,0.96127,0.69735,0.95618,0.96045,0.90118,0.95524,0.77954,0.85668,0.63746,0.9456,0.00113863,0.00113863,0.00113863
11,226.362,0.95762,0.68435,0.95255,0.93608,0.9504,0.95969,0.80159,0.76801,0.52412,0.90349,0.00112625,0.00112625,0.00112625
12,245.371,0.92993,0.64403,0.94176,0.94265,0.96058,0.96477,0.80729,0.77898,0.55964,0.90235,0.00111388,0.00111388,0.00111388
13,264.214,0.91677,0.63369,0.93566,0.99078,0.9395,0.97002,0.8101,0.76144,0.53851,0.90351,0.0011015,0.0011015,0.0011015
14,283.385,0.91697,0.62773,0.93865,0.95456,0.94511,0.96642,0.82578,0.73237,0.5604,0.89405,0.00108913,0.00108913,0.00108913
15,302.579,0.91412,0.61133,0.93629,0.91966,0.95343,0.96646,0.7992,0.78991,0.53456,0.89496,0.00107675,0.00107675,0.00107675
16,321.62,0.90481,0.59998,0.93193,0.97339,0.94547,0.96975,0.81921,0.72255,0.50002,0.88165,0.00106437,0.00106437,0.00106437
17,340.375,0.88643,0.58459,0.92594,0.94179,0.91172,0.95333,0.7681,0.85563,0.62051,0.91085,0.001052,0.001052,0.001052
18,359.98,0.90399,0.58507,0.93162,0.93473,0.94257,0.96093,0.80873,0.7922,0.5161,0.90919,0.00103962,0.00103962,0.00103962
19,380.129,0.8988,0.58924,0.92768,0.95792,0.92627,0.96452,0.81898,0.73121,0.49705,0.88382,0.00102725,0.00102725,0.00102725
20,399.113,0.88025,0.57442,0.92498,0.9673,0.93043,0.96256,0.80223,0.75702,0.50687,0.8828,0.00101488,0.00101488,0.00101488
21,418.478,0.88726,0.57136,0.92759,0.95919,0.9583,0.9781,0.82838,0.73149,0.47819,0.87245,0.0010025,0.0010025,0.0010025
22,438.094,0.86069,0.55405,0.91814,0.9633,0.94792,0.96535,0.80031,0.83171,0.52975,0.89108,0.000990125,0.000990125,0.000990125
23,457.122,0.86543,0.54907,0.92018,0.96291,0.94949,0.96435,0.80648,0.78461,0.5108,0.88225,0.00097775,0.00097775,0.00097775
