epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1616,1.42666,2.4817,1.26307,0.85397,0.85587,0.88954,0.69619,0.92966,0.87694,0.97604,0.0033114,0.0033114,0.0033114
2,46.9555,1.07613,0.90915,1.01735,0.90498,0.89147,0.94204,0.73984,0.94905,0.78774,1.03339,0.00662281,0.00662281,0.00662281
3,70.8043,1.08212,0.88357,1.03123,0.80408,0.88027,0.91131,0.69965,0.97029,1.03895,1.0344,0.00991221,0.00991221,0.00991221
4,92.8873,1.10241,0.89479,1.05471,0.88645,0.93004,0.94929,0.73522,0.94491,0.73738,1.02895,0.009901,0.009901,0.009901
5,114.655,1.08018,0.81922,1.05329,0.87088,0.90755,0.94375,0.74001,0.94484,0.7403,1.07373,0.009868,0.009868,0.009868
6,136.565,1.05059,0.77824,1.04923,0.89012,0.92786,0.94773,0.7466,0.90591,0.72161,1.02966,0.009835,0.009835,0.009835
7,160.863,1.02661,0.75548,1.02919,0.95477,0.94476,0.96247,0.76825,0.85493,0.6213,0.99187,0.009802,0.009802,0.009802
8,182.782,0.98766,0.71394,1.01683,0.92474,0.87935,0.93766,0.74568,0.87634,0.71466,0.99602,0.009769,0.009769,0.009769
9,205.627,0.98872,0.70671,1.0137,0.91852,0.93869,0.95258,0.7565,0.86456,0.62088,0.99475,0.009736,0.009736,0.009736
10,229.228,0.98198,0.69035,1.01166,0.90733,0.9441,0.95916,0.77871,0.81729,0.61327,0.9548,0.009703,0.009703,0.009703
11,250.345,0.96515,0.67745,1.00729,0.88171,0.93415,0.94333,0.77025,0.84852,0.66304,0.9825,0.00967,0.00967,0.00967
12,274.422,0.95129,0.64543,0.99755,0.95231,0.95492,0.9652,0.79631,0.80114,0.53938,0.9336,0.009637,0.009637,0.009637
13,296.227,0.9399,0.63227,0.99167,0.89972,0.90948,0.94431,0.75748,0.92628,0.62162,0.99602,0.009604,0.009604,0.009604
14,317.168,0.93831,0.62949,0.99168,0.91391,0.94593,0.96159,0.79156,0.78846,0.5451,0.95059,0.009571,0.009571,0.009571
15,341.531,0.93613,0.61343,0.99292,0.92169,0.95694,0.97021,0.7954,0.77473,0.52717,0.93423,0.009538,0.009538,0.009538
16,364.092,0.90803,0.60476,0.98489,0.93587,0.93856,0.9656,0.79844,0.76304,0.50753,0.9216,0.009505,0.009505,0.009505
17,384.538,0.89986,0.58432,0.9708,0.95697,0.94772,0.96284,0.80458,0.77975,0.54215,0.92786,0.009472,0.009472,0.009472
18,406.808,0.90479,0.58332,0.97494,0.91657,0.95152,0.93361,0.77447,0.78312,0.52931,0.92843,0.009439,0.009439,0.009439
19,431.594,0.89382,0.58217,0.97415,0.97739,0.93877,0.96775,0.7923,0.83867,0.5262,0.94019,0.009406,0.009406,0.009406
20,453.36,0.88879,0.56742,0.97294,0.9415,0.9648,0.96756,0.80886,0.77125,0.48739,0.92597,0.009373,0.009373,0.009373
21,475.66,0.89632,0.57219,0.97092,0.96204,0.93872,0.96662,0.78371,0.78026,0.50709,0.92766,0.00934,0.00934,0.00934
